speaker_name,speaker_role,speaker_party,intervention_language,original_language,date,year,debate_title,text,translated_text,topic_name,stance,mentioned_topics,summary
Helmut Scholz,MEP,GUE/NGL,en,de,15/07/2009,2009,Iran (debate) Video of the speechesPV," Mr President, Commissioner, Minister, ladies and gentlemen, the Group of the United European Left/Nordic Green Left is deeply concerned about the ongoing violence in Iran. We, too, condemn in the strongest possible terms the brutal mistreatment of demonstrators. We are extremely concerned about the fate of numerous people who were detained and call for their immediate release and we also believe that the European Parliament as a whole should do this. We are also critical of comments in media and governmental circles in other states which exploit the legitimate protests of the Iranian citizens. Not even the most recent developments in Iran justify plans for military action against Iranian nuclear installations. My group rejects such strategies. We therefore welcome the clear statement by President Obama, who has refused to give Israel the green light for an attack on Iran. The US President also believes in diplomacy. Iran is a sovereign state. Its people alone have the right to decide on changes to its society. The government of a sovereign state must openly accept the desire for change and drive through a political solution.",,Iran nuclear program,critical,"violence in Iran, human rights in Iran, US-Iran relations","The speaker, representing the Group of the United European Left/Nordic Green Left, expresses deep concern over the violence in Iran, condemns the mistreatment of demonstrators, and calls for the release of detainees, while also criticizing media and governmental exploitation of protests and rejecting military action against Iran's nuclear installations, welcoming President Obama's stance on diplomacy."
Daniel Caspary ,MEP,PPE,en,de,21/10/2009,2009,Preparation of the TEC meeting and the EU/USA Summit (2 and 3 November 2009) - Transatlantic judicial and police cooperation (debate) Video of the speechesPV," Madam President, ladies and gentlemen, if you believe that the European Union needs partners, as all the previous speakers have said, then this becomes particularly clear in the area of the economy. The transatlantic market has a trade volume of around EUR 2 billion per day. This makes it obvious how important the World Trade Organisation (WTO) is. It also becomes clear that free trade agreements are important and, above all, that we must focus more closely on the transatlantic partnership. I am sometimes concerned about what is happening on the other side of the Atlantic when I look at the new President. He will find the time to accept the Nobel prize in Oslo, but it was difficult for many European Heads of State or Government to get appointments to meet with him on the fringes of the G20 Summit. He had time in Copenhagen to support his home city’s Olympic bid, but unfortunately he did not have time to join us in an important European celebration, in other words, the 20th anniversary of the fall of the Berlin Wall and the iron curtain. I would be pleased if we succeeded in convincing him that he should not wait until a few days beforehand to decide whether the TEC meeting should take place, but instead that he should support the TEC with complete conviction over the next few years. We need trade between Europe and the US to be made easier. We need improvements in the area of joint standardisation. We need the removal of duties and non-tariff trade barriers. We must prevent more protectionist measures from being taken by both sides. We must guarantee that products are safe for our consumers. We must prevent anti-terrorism measures from obstructing all these activities as is currently under discussion. For these reasons, I would be happy if we could make real progress in our cooperation. Many of the issues which concern us in other areas of the world, such as wage, social and environmental dumping, are not problems in the transatlantic relationship. I believe that we should take the opportunity, on the one hand, to work together with the Americans to solve our common problems and, on the other, to attempt to play a joint role throughout the world in making progress within the WTO or other international organisations, such as the International Labour Organisation. I am hoping for good results in this respect next week.",,transatlantic trade,supportive,"World Trade Organisation, free trade agreements, protectionist measures","The speaker emphasizes the importance of strengthening the transatlantic partnership and trade relations between the EU and the US, advocating for easier trade, removal of barriers, and joint problem-solving on the global stage."
Jacky Hénin ,MEP,GUE/NGL,en,fr,17/09/2009,2009,Energy security (Nabucco and Desertec) (debate) Video of the speechesPV," Mr President, the independence of our region’s energy supply and the security of energy installations and consumers ought not to go hand in hand with defiance of the interests of the peoples of the gas-producing countries and the transit countries, otherwise we risk generating conflict. Competition between gas pipeline projects is not only a source of trouble, but is also a factor in tensions in Eastern Europe, the Caucasus and Central Asia. Removing gas and other energy sources from the serious problems caused by the speculative markets, through tariff agreements that respect the producer countries and the transit countries, and that provide security to European consumers, would make it possible to guarantee security all round. That could be the task of a European Energy Agency supervised by Parliament and the Council, whose sole policies would be cooperation and promoting the public interest. Why, then, do we have the feeling, in this case, that commercial interests prevail over the interests of the European people? I would also like to issue an official warning to the Commission to avoid the temptation of using the Nabucco project as a Trojan horse for obtaining Turkey’s accession to the EU by forcible means. Respect for secularity, for women’s rights and for the rights of the Kurdish people, as well as acknowledgement of the Armenian genocide, must remain the criteria by which Turkey’s potential accession is decided.",,EU energy policy,critical,"EU energy policy, Turkey's accession to the EU, Nabucco project","The speaker criticizes the EU's energy policy, arguing that competition between gas pipeline projects creates conflict and that commercial interests override the public interest, while also warning against using the Nabucco project to force Turkey's accession to the EU."
Linda McAvan ,MEP,S&D,en,en,20/10/2009,2009,Climate change and developing countries in the framework of the UN Conference on Climate Change in Copenhagen (debate) Video of the speechesPV,"Mr President, I do not think Godfrey Bloom heard the BNP speaker, but if he had he would have seen that they have so much in common, as I always suspected. It was almost a carbon copy speech. We heard something about polling. In fact, in a recent survey, more than two thirds of Europeans said that climate change was a very serious issue, and 20% said it was a fairly serious issue. For the UK, that same figure was 51% saying it was a very serious issue and 30% a fairly serious issue. That is 81%. In fact, only 10% of Europeans said it was not a serious issue at all. The opinion polls show that people in Europe do care about climate change and they do understand. That is why all the mainstream parties in this House are backing the Council and the Commission in Copenhagen and why we backed the legislative package last year. Last night in the Environment Committee, Members voted by 55 to 1 to back an ambitious negotiating position of the European Union in Copenhagen. On the financing side, which is extremely important this week – and we know the finance ministers are meeting today – we want funds, additionality, no double counting and good governance structures. Sometimes in life you see things you never forget. About three years ago, Fiona Hall and I went to northern Kenya. We went to one of the poorest communities and met pastoralist farmers there. We met young women – girls – who were being married at ever younger ages in northern Kenya. Why? Because when a young woman gets married in Kenya, in return for her hand in marriage, her father receives cows in payment because cows are the currency. Cows are becoming a rare commodity in northern Kenya because of climate change. We will never make poverty history unless we tackle climate change, and this House has a duty to respond to that call.",,climate change,supportive,"climate change, poverty, opinion polls","The speaker emphasizes the public's concern about climate change, highlighting its connection to poverty and the need for an ambitious EU response in Copenhagen, supported by financial commitments and good governance."
Ian Hudghton ,MEP,Greens/EFA,en,en,24/11/2009,2009,Explanations of voteVideo of the speechesPV,"I abstained on the Bullmann report. Whilst I do believe that the Council has a duty to listen to the views of this House, the EU’s only directly elected institution, I do not believe that VAT systems should be harmonised. The principle of subsidiarity dictates that taxation is a matter best left to the nations of Europe.",,VAT systems harmonisation,critical,"VAT systems harmonisation, subsidiarity, role of EU Parliament","The speaker abstained on the Bullmann report, believing that VAT systems should not be harmonised as taxation is a matter best left to individual nations due to the principle of subsidiarity, though acknowledging the Council should listen to the Parliament."
Charles Tannock ,MEP,ECR,en,en,15/09/2009,2009,Inaugural address by the President of the European ParliamentVideo of the speechesPV,"Mr President, I have always admired Mr Barroso as our Commission President, who is an Atlanticist free-marketeer, which my party strongly supports and holds dear. I am also a strong friend of Portugal, so I am very happy to support José Manuel. However, I am concerned at what I read yesterday in the Daily Telegraph that he has agreed with the ALDE Group to create a powerful new and intrusive Human Rights Commissioner in his Commission, straddling external and internal human rights issues. This seems to fly in the face of the Centre Right-led decision of this Parliament to reject a new combined Human Rights Committee and duplicates the work of the Council of Europe and its own Human Rights Commissioner. Please can President Barroso clarify his policies and intentions here?",,Human Rights Commissioner,critical,"free-marketeer, European Commission","The speaker expresses admiration for President Barroso but is concerned about the potential creation of a new, intrusive Human Rights Commissioner, questioning its necessity and duplication of existing roles."
Willy Meyer ,MEP,GUE/NGL,en,es,16/09/2009,2009,Explanations of voteVideo of the speechesPV," Mr Barroso, the President of the European Commission, is responsible for the current situation of financial, economic, food and environmental crisis in which Europe is immersed. To date, no one has recognised his error, and the blame has instead been placed on the United States. To date, the Commission has tried to build a Europe based on policies of privatisation and dismantling of the social state. The Commission adopted the Lisbon Strategy, which predicted economic growth of 3% and the creation of 20 million jobs by 2010. The failure of this strategy is clear. Despite that, the Commission is proposing to renew this strategy and continue with these policies, which are the cause of the crisis. This crisis is not a pandemic; it is the result of a gamble on one specific policy: the policy adopted by the European Commission. Its foreign policy programme makes no reference to the Sahara or Palestine. These issues are not only not its priorities, but the EU is planning to grant advanced status to the Kingdom of Morocco and to upgrade relations with the State of Israel.",,European Commission policies,critical,"financial crisis, economic crisis, Lisbon Strategy","The speaker criticizes the European Commission, led by Mr. Barroso, for the current financial, economic, food, and environmental crises, blaming its policies of privatization and dismantling the social state, and highlighting the failure of the Lisbon Strategy while noting the Commission's intent to renew it and its foreign policy's neglect of issues like the Sahara and Palestine."
Derek Vaughan ,MEP,S&D,en,en,17/09/2009,2009,Energy security (Nabucco and Desertec) (debate) Video of the speechesPV,"Mr President, I welcome the text put forward today by the various political groups and the earlier statement by the Commissioner, particularly the recognition of the need to diversify our energy technology and to secure our supply. But of course there is no one answer to ensuring our supply. All technologies must be considered. There has to be a mix, including CCS, and, of course, where I come from is Wales, which still has a plentiful supply of coal. Energy efficiency must also be improved. That is why I believe we should be spending more of European Structural Funds on energy efficiency measures to save energy, but also to boost the economy. I would also like to make two further quick points. Firstly, on Desertec, which I believe is an exciting project, but we have to recognise that it is a long-term project. It is not a quick fix. Secondly, the storage of gas reserves is important, but again we need to recognise that it is expensive and funding will be required. So, I support all the texts put forward today, particularly by the S&D Group, but these are important points and I would welcome the views of the Commissioner on those points.",,energy supply security,supportive,"energy technology diversification, CCS, energy efficiency","The speaker supports the proposed text on energy supply security, emphasizing the need for a mix of technologies including CCS, improved energy efficiency funded by European Structural Funds, and acknowledging the long-term nature of projects like Desertec and the cost of gas storage."
President,EUROPARL President,,en,en,22/10/2009,2009,Explanations of voteVideo of the speechesPV,"Thank you, Mr Siekierski. I have received another two explanations of vote, both of which are from new Members. I should point out that, under Rule 170, no further requests to give explanations of vote shall be accepted once the first explanation of vote has begun. I shall allow these two explanations as an exception, but I should like to ask the services to bring this to the attention of the groups in a suitable manner once again. Unless we proceed to some extent by the book, then things will get out of hand. Mr Seán Kelly has the floor.",,explanations of vote,neutral,parliamentary procedure,The speaker acknowledges two late explanations of vote and emphasizes the importance of adhering to parliamentary rules to prevent procedural issues.
President,EUROPARL President,,en,en,24/11/2009,2009,Question Hour with the President of the CommissionVideo of the speechesPV,"I would like to say something which is very serious. We are talking about the outcome of the last Council meeting, of 19 November 2009. I know that almost anything could have been said or could have happened during the Council meeting, but this was probably not an issue at the last Council meeting, so please keep to the topic, because it is necessary.",,Council meeting,neutral,Council meeting outcome,The speaker urges attendees to stay on topic concerning the outcome of the Council meeting of 19 November 2009.
